Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Juzan,3,12,-18,18,18,60,10,1,,J9w,Wakakosho;Ichinotani;Masutsuyoshi
Hamanishiki,7,8,-2,52,52,61,9,1,,J10e,Juzan;Dewanofuji;Wakakosho;Ama;Masutsuyoshi;Kobo;Oikari
Sumanofuji,8,7,2,67,67,62,8,1,,J10w,Hamanishiki;Ama;Wakakosho;Masutsuyoshi;Wakatoba;Towanoyama;Kasugao;Tamakasuga
Tokitenku,8,7,2,68,68,63,7,1,,J11e,Ichinotani;Wakakosho;Sumanofuji;Ama;Daimanazuru;Takanowaka;Kitazakura;Otsukasa
Dewanofuji,7,8,-2,47,47,64,6,1,,J11w,Tokitenku;Masutsuyoshi;Gojoro;Ichinotani;Sumanofuji;Juzan;Roho
Ama,10,5,10,77,77,65,5,1,,J12e,Bushuyama;Takanotsuru;Masutsuyoshi;Ichinotani;Tamarikido;Juzan;Daimanazuru;Wakatoba;Kasugao;Kaido
Bushuyama,9,6,6,77,77,66,4,1,,J12w,Towanoyama;Tokitenku;Hamanishiki;Sumanofuji;Dewanofuji;Juzan;Kasugao;Takanowaka;Kobo
Daimanazuru,5,10,-10,35,35,67,3,1,,J13e,Hamanishiki;Sumanofuji;Juzan;Ichinotani;Dewanofuji
Masutsuyoshi,3,12,-18,21,21,68,2,1,,J13w,Daimanazuru;Tokitenku;Ichinotani
Wakakosho,7,8,-2,55,55,69,1,1,,J14e,Daimanazuru;Ama;Takanotsuru;Towanoyama;Dewanofuji;Masutsuyoshi;Kitazakura
Ichinotani,5,10,-10,45,45,70,0,1,,J14w,Wakakosho;Bushuyama;Hamanishiki;Takanotsuru;Kitazakura
