Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j2w,m15w,9,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15w,10,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15w,11,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m15w,12,0,[]
j2w,m15w,13,0,[]
j2w,m15w,14,0,[]
j2w,m15w,15,0,[]
,,TOTAL,5,
#,#,#,#,#
j2w,m16e,0,0,[]
j2w,m16e,1,0,[]
j2w,m16e,2,0,[]
j2w,m16e,3,0,[]
j2w,m16e,4,0,[]
j2w,m16e,5,0,[]
j2w,m16e,6,0,[]
j2w,m16e,7,0,[]
j2w,m16e,8,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m16e,9,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m16e,10,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m16e,11,0,[]
j2w,m16e,12,0,[]
j2w,m16e,13,0,[]
j2w,m16e,14,0,[]
j2w,m16e,15,0,[]
,,TOTAL,6,
#,#,#,#,#
j2w,m16w,0,0,[]
j2w,m16w,1,0,[]
j2w,m16w,2,0,[]
j2w,m16w,3,0,[]
j2w,m16w,4,0,[]
j2w,m16w,5,0,[]
j2w,m16w,6,0,[]
j2w,m16w,7,0,[]
j2w,m16w,8,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m16w,9,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m16w,10,0,[]
j2w,m16w,11,0,[]
j2w,m16w,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m16w,13,0,[]
j2w,m16w,14,0,[]
j2w,m16w,15,0,[]
,,TOTAL,6,
#,#,#,#,#
j2w,m17e,0,0,[]
j2w,m17e,1,0,[]
j2w,m17e,2,0,[]
j2w,m17e,3,0,[]
j2w,m17e,4,0,[]
j2w,m17e,5,0,[]
j2w,m17e,6,0,[]
