Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Chiyoraizan,2,13,-22,2,,153,39,0.203125,,Akiyoshi;Yamato
Tochiseiryu,3,12,-18,3,,154,38,0.197916666666667,,Akiyoshi;Chiyoraizan;Fujiazuma
Daishomaru,4,11,-14,4,,155,37,0.192708333333333,,Tochiseiryu;Chiyodaigo;Yoshii;Kirinryu
Kirinryu,3,12,-18,3,,156,36,0.1875,,Anhibiki;Akiyoshi;Kotodaigo
Chiyodaigo,2,13,-22,2,,157,35,0.182291666666667,,Kirinryu;Kaigo
Seihakuho,5,10,-10,5,,158,34,0.177083333333333,,Anhibiki;Fujiazuma;Mikazuchiyama;Tokitenran;Daishomaru
Anhibiki,3,12,-18,3,,159,33,0.171875,,Denuma;Chiyoraizan;Chiyodaigo
Fujiazuma,2,13,-22,2,,160,32,0.166666666666667,,Hayatefuji;Kirinryu
Hayatefuji,4,11,-14,4,,161,31,0.161458333333333,,Denuma;Chiyodaigo;Mikazuchiyama;Daishomaru
Mikazuchiyama,5,10,-10,5,,162,30,0.15625,,Denuma;Kaigo;Fujiazuma;Anhibiki;Kurohimeyama
Denuma,2,13,-22,2,,163,29,0.151041666666667,,Kototaiko;Wakatakamoto
Kotodaishin,4,11,-14,4,,164,28,0.145833333333333,,Shunrai;Daiyusho;Ikazuchido;Kirinryu
Kaigo,2,13,-22,2,,165,27,0.140625,,Kotodaishin;Yamato
Shunrai,4,11,-14,4,,166,26,0.135416666666667,,Yamato;Kaigo;Nionoumi;Anhibiki
Ikazuchido,3,12,-18,3,,167,25,0.130208333333333,,Shunrai;Kurohimeyama;Shimizuumi
Daiyusho,5,10,-10,5,,168,24,0.125,,Yamato;Shunrai;Ikazuchido;Tokitenran;Hayatefuji
Kurohimeyama,4,11,-14,4,,169,23,0.119791666666667,,Daiyusho;Kaigo;Ieshima;Kotodaishin
Daikosho,5,10,-10,5,,170,22,0.114583333333333,,Yamato;Shimizuumi;Kurohimeyama;Kotodaishin;Hayatefuji
Yamato,1,14,-26,1,,171,21,0.109375,,Denuma
Shimizuumi,3,12,-18,3,,172,20,0.104166666666667,,Shiroma;Chiyotaiho;Fujiazuma
Tokitenran,4,11,-14,4,,173,19,0.0989583333333333,,Shimizuumi;Daikosho;Ikazuchido;Dairinzan
Mishima,5,10,-10,5,,174,18,0.09375,,Shiroma;Chiyotaiho;Tsurubayashi;Tokitenran;Ienoshima
Shiroma,4,11,-14,4,,175,17,0.0885416666666667,,Yamato;Chiyotaiho;Kumanoryu;Ikazuchido
Chiyotaiho,2,13,-22,2,,176,16,0.0833333333333333,,Ieshima;Onojo
Sengaku,5,10,-10,5,,177,15,0.078125,,Chiyotaiho;Mishima;Daihisho;Ienoshima;Tokunomusashi
Ieshima,2,13,-22,2,,178,14,0.0729166666666667,,Shiroma;Onojo
Dairinzan,3,12,-18,3,,179,13,0.0677083333333333,,Ieshima;Kumanoryu;Sengaku
Onojo,1,14,-26,1,,180,12,0.0625,,Chiyonokatsu
Kumanoryu,3,12,-18,3,,181,11,0.0572916666666667,,Onojo;Yokomaru;Chiyotaiho
Tsurubayashi,4,11,-14,4,,182,10,0.0520833333333333,,Daihisho;Hoshuzan;Shimizuumi;Dairinzan
Daihisho,3,12,-18,3,,183,9,0.046875,,Onojo;Kumanoryu;Yoshiyasu
Yoshiyasu,4,11,-14,4,,184,8,0.0416666666666667,,Chiyonokatsu;Yokomaru;Ieshima;Soma
Chiyonokatsu,1,14,-26,1,,185,7,0.0364583333333333,,Sachinofuji
Ienoshima,4,11,-14,4,,186,6,0.03125,,Chiyonokatsu;Yokomaru;Yoshiyasu;Daihisho
Hoshuzan,4,11,-14,4,,187,5,0.0260416666666667,,Ienoshima;Kumanoryu;Soma;Daihisho
Yonezawaryu,3,12,-18,3,,188,4,0.0208333333333333,,Chiyonokatsu;Onojo;Ieshima
Yokomaru,2,13,-22,2,,189,3,0.015625,,Yonezawaryu;Rinko
Goshima,6,9,-6,6,,190,2,0.0104166666666667,,Chiyooga;Tokunomusashi;Tsurubayashi;Dairinzan;Mishima;Yago
Fukuzaki,5,10,-10,5,,191,1,0.00520833333333333,,Soma;Suzaki;Yoshiyasu;Kotonofuji;Seihakuho
