Takanonami,1993.09,S1w,10,1993.11,S1e,12,1994.01,S1w,13,35,,,,,,,,,,,,,,,,
eima,1999.03,K1w,9,1999.05,S2e,11,1999.07,S1w,13,33,,,,,,,,,,,,,,,,
Musoama,1999.11,K1e,10,2000.01,S2e,13,2000.03,S1e,12,35,,,,,,,,,,,,,,,,
Miabiama,2000.01,K1w,12,2000.03,S1w,11,2000.05,S1e,11,34,,,,,,,,,,,,,,,,
Kaio,2000.03,K1w,8,2000.05,K1w,14,2000.07,S1e,11,33,,,,,,,,,,,,,,,,
Tochiazuma,2001.07,S1e,10,2001.09,S1e,12,2001.11,S1e,12,34,,,,,,,,,,,,,,,,
Asashoru,2002.03,S1w,11,2002.05,S1e,11,2002.07,S1e,12,34,,,,,,,,,,,,,,,,
Kotooshu,2005.07,K1e,12,2005.09,S1e,13,2005.11,S1e,11,36,,,,,,,,,,,,,,,,
Hakuho,2005.11,K1w,9,2006.01,S1w,13,2006.03,S1e,13,35,,,,,,,,,,,,,,,,
Kotomitsuki,2007.03,S1e,10,2007.05,S1e,12,2007.07,S1e,13,35,,,,,,,,,,,,,,,,
Harumafui,2008.07,S1e,10,2008.09,S1e,12,2008.11,S1e,13,35,,,,,,,,,,,,,,,,
Baruto,2009.11,S1e,9,2010.01,S1e,12,2010.03,S1e,14,35,,,,,,,,,,,,,,,,
Kotoshogiku,2011.05,S1e,10,2011.07,S1e,11,2011.09,S1e,12,33,,,,,,,,,,,,,,,,
Kakuru,2011.11,S1w,10,2012.01,S1e,10,2012.03,S1e,13,33,,,,,,,,,,,,,,,,
Terunofui,2015.01,M2e,8,2015.03,S1e,13,2015.05,S1e,12,33,,,,,,,,,,,,,,,,
Takaasu,2017.01,K1e,11,2017.03,S1w,12,2017.05,S1w,11,34,,,,,,,,,,,,,,,,
Tochinoshin,2018.01,M3w,14,2018.03,S1w,10,2018.05,S1e,13,37,,,,,,,,,,,,,,,,
Takakeisho,2018.11,K1e,13,2019.01,S1e,11,2019.03,S1e,10,34,,,,,,,,,,,,,,,,
Terunofui,2020.11,K1e,13,2021.01,S1e,11,2021.03,S1e,12,36,,,,,,,,,,,,,,,,
Mitakeumi,2021.09,S1e,9,2021.11,S1e,11,2022.01,S1e,13,33,,,,,,,,,,,,,,,,
Kirishima,2023.01,K1e,11,2023.03,S2e,12,2023.05,S1e,11,34,,,,,,,,,,,,,,,,
Hoshoru,2023.03,S1w,10,2023.05,S1w,11,2023.07,S1e,12,33,,,,,,,,,,,,,,,,
Kotonowaka,2023.09,S2e,9,2023.11,S2e,11,2024.01,S1e,13,33,,,,,,,,,,,,,,,,
Onosato,2024.05,K1w,12,2024.07,S1w,9,2024.09,S1w,13,34,,,,,,,,,,,,,,,,
