Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
m5w,m4w,13,0,[]
m5w,m4w,14,0,[]
m5w,m4w,15,0,[]
,,TOTAL,6,
#,#,#,#,#
m5w,m5e,0,0,[]
m5w,m5e,1,0,[]
m5w,m5e,2,0,[]
m5w,m5e,3,0,[]
m5w,m5e,4,0,[]
m5w,m5e,5,0,[]
m5w,m5e,6,0,[]
m5w,m5e,7,0,[]
m5w,m5e,8,0,[]
m5w,m5e,9,0,[]
m5w,m5e,10,0,[]
m5w,m5e,11,0,[]
m5w,m5e,12,0,[]
m5w,m5e,13,0,[]
m5w,m5e,14,0,[]
m5w,m5e,15,0,[]
,,TOTAL,0,
#,#,#,#,#
m5w,m5w,0,0,[]
m5w,m5w,1,0,[]
m5w,m5w,2,0,[]
m5w,m5w,3,0,[]
m5w,m5w,4,0,[]
m5w,m5w,5,0,[]
m5w,m5w,6,0,[]
m5w,m5w,7,9,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}]"
m5w,m5w,8,0,[]
m5w,m5w,9,0,[]
m5w,m5w,10,0,[]
m5w,m5w,11,0,[]
m5w,m5w,12,0,[]
m5w,m5w,13,0,[]
m5w,m5w,14,0,[]
m5w,m5w,15,0,[]
,,TOTAL,9,
#,#,#,#,#
m5w,m6e,0,0,[]
m5w,m6e,1,0,[]
m5w,m6e,2,0,[]
m5w,m6e,3,0,[]
m5w,m6e,4,0,[]
m5w,m6e,5,0,[]
m5w,m6e,6,2,"[{""y"": 1, ""o"": 2, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}]"
m5w,m6e,7,19,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m6e,8,0,[]
m5w,m6e,9,0,[]
m5w,m6e,10,0,[]
m5w,m6e,11,0,[]
m5w,m6e,12,0,[]
m5w,m6e,13,0,[]
m5w,m6e,14,0,[]
m5w,m6e,15,0,[]
,,TOTAL,21,
#,#,#,#,#
m5w,m6w,0,0,[]
m5w,m6w,1,0,[]
m5w,m6w,2,0,[]
m5w,m6w,3,0,[]
m5w,m6w,4,0,[]
m5w,m6w,5,0,[]
m5w,m6w,6,7,"[{""y"": 0, ""o"": 0, ""s"": 2, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m6w,7,20,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m6w,8,0,[]
m5w,m6w,9,0,[]
m5w,m6w,10,0,[]
m5w,m6w,11,0,[]
m5w,m6w,12,0,[]
m5w,m6w,13,0,[]
m5w,m6w,14,0,[]
m5w,m6w,15,0,[]
,,TOTAL,27,
#,#,#,#,#
m5w,m7e,0,0,[]
m5w,m7e,1,0,[]
m5w,m7e,2,0,[]
m5w,m7e,3,0,[]
m5w,m7e,4,0,[]
m5w,m7e,5,0,[]
m5w,m7e,6,10,"[{""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}]"
m5w,m7e,7,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m7e,8,0,[]
m5w,m7e,9,0,[]
m5w,m7e,10,0,[]
m5w,m7e,11,0,[]
m5w,m7e,12,0,[]
m5w,m7e,13,0,[]
m5w,m7e,14,0,[]
m5w,m7e,15,0,[]
,,TOTAL,16,
#,#,#,#,#
m5w,m7w,0,0,[]
m5w,m7w,1,0,[]
m5w,m7w,2,0,[]
m5w,m7w,3,0,[]
m5w,m7w,4,0,[]
m5w,m7w,5,2,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}]"
m5w,m7w,6,18,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 2, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m7w,7,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m7w,8,0,[]
m5w,m7w,9,0,[]
m5w,m7w,10,0,[]
m5w,m7w,11,0,[]
m5w,m7w,12,0,[]
m5w,m7w,13,0,[]
m5w,m7w,14,0,[]
m5w,m7w,15,0,[]
,,TOTAL,22,
#,#,#,#,#
m5w,m8e,0,0,[]
m5w,m8e,1,0,[]
m5w,m8e,2,0,[]
m5w,m8e,3,0,[]
m5w,m8e,4,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m8e,5,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}]"
m5w,m8e,6,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m8e,7,0,[]
m5w,m8e,8,0,[]
m5w,m8e,9,0,[]
m5w,m8e,10,0,[]
m5w,m8e,11,0,[]
m5w,m8e,12,0,[]
m5w,m8e,13,0,[]
m5w,m8e,14,0,[]
m5w,m8e,15,0,[]
,,TOTAL,8,
#,#,#,#,#
m5w,m8w,0,0,[]
m5w,m8w,1,0,[]
m5w,m8w,2,0,[]
m5w,m8w,3,0,[]
m5w,m8w,4,0,[]
m5w,m8w,5,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
