Rank vs,y,o,s,k,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13,j14
Total Matches,16,45,68,79,150,203,298,452,684,979,1102,1159,1258,1375,0,1310,1148,952,806,535,235,115,262,188,124,54,27,7,1,1,0,0,0,0,0,0,13633
M12,0.3,0.3181818181818182,0.5,0.5757575757575758,0.4823529411764706,0.79,0.8153846153846154,0.8429319371727748,0.889967637540453,0.9320843091334895,0.9072356215213359,0.9215686274509803,1.023890784982935,0.9067930489731437,0.9669669669669669,-,0.9983766233766234,0.8786764705882353,1.1506172839506172,1.0722021660649819,1.1833333333333333,1.4,0.9941520467836257,0.8141025641025641,1.0206185567010309,0.9591836734693877,1.0,1.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.96
Total Matches,13,29,30,52,126,179,236,352,584,825,1028,1078,1186,1207,1310,0,1231,1022,871,574,262,120,341,283,196,96,40,8,5,0,0,0,0,0,0,0,13284
M13,0.3333333333333333,0.3,0.5789473684210527,0.9615384615384616,0.6666666666666666,0.8771929824561403,0.9021739130434783,0.6370370370370371,0.6946902654867256,0.9722222222222222,0.8464646464646465,0.8929889298892989,0.9700374531835206,0.9599271402550091,0.8912685337726524,1.0016260162601627,-,1.0317164179104477,1.0889423076923077,1.1519434628975265,1.0158730158730158,1.21875,1.065,0.943502824858757,1.1603773584905661,0.6933333333333334,0.8285714285714286,0.36363636363636365,1.0,0.5,N/A,1.0,N/A,N/A,N/A,N/A,0.96
Total Matches,8,26,30,51,75,107,175,221,383,639,914,1026,1052,1076,1148,1231,0,1089,869,609,254,142,413,344,229,127,64,15,2,3,0,2,0,0,0,0,12324
M14,0.14285714285714285,0.38461538461538464,1.0,0.9230769230769231,0.5454545454545454,0.7297297297297297,0.8548387096774194,0.776595744680851,0.875,0.7702127659574468,0.9196141479099679,0.952755905511811,0.8469827586206896,0.9824561403508771,0.8703339882121808,1.1380753138075315,0.969258589511754,-,1.0739910313901346,1.34375,0.8896551724137931,1.2372881355932204,0.9425837320574163,1.0602409638554218,0.984251968503937,0.9545454545454546,0.84,0.4444444444444444,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.98
Total Matches,8,18,22,25,51,64,115,167,255,416,597,744,857,904,952,1022,1089,0,925,600,274,132,406,342,252,129,46,13,8,0,0,0,0,0,0,0,10433
M15,0.0,0.14285714285714285,0.1111111111111111,0.5714285714285714,1.25,0.39285714285714285,0.6451612903225806,0.6610169491525424,0.8390804597701149,0.7837837837837838,0.6877637130801688,1.0074349442379182,0.7637362637362637,0.8242894056847545,0.995049504950495,0.869098712446352,0.9183222958057395,0.9311064718162839,-,1.0,1.0827586206896551,1.0285714285714285,1.0594594594594595,0.9247311827956989,0.8947368421052632,0.9642857142857143,1.7222222222222223,1.0,0.6666666666666666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.91
Total Matches,3,8,10,11,18,39,51,98,160,264,400,540,642,706,806,871,869,925,0,650,302,142,381,358,216,110,49,18,5,0,0,0,0,0,0,0,8652
M16,N/A,0.0,0.4,0.0,0.9,0.7692307692307693,0.44,1.3157894736842106,0.8392857142857143,0.8985507246376812,0.8151260504201681,0.8238993710691824,0.721030042918455,0.7127272727272728,0.8013468013468014,0.9326599326599326,0.8680981595092024,0.7441860465116279,1.0,-,1.0481927710843373,1.2535211267605635,1.1020408163265305,0.868421052631579,1.0,1.0444444444444445,0.5909090909090909,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88
Total Matches,0,2,7,4,19,23,36,44,103,131,216,290,401,471,535,574,609,600,650,0,340,160,309,213,148,92,35,14,0,0,0,0,0,0,0,0,6026
M17,N/A,1.0,1.0,2.0,0.75,0.0,0.5625,0.5555555555555556,0.6521739130434783,0.7073170731707317,0.896551724137931,0.6575342465753424,0.9666666666666667,0.7520661157024794,0.9747899159663865,0.8450704225352113,0.984375,1.124031007751938,0.9235668789808917,0.9540229885057471,-,0.8888888888888888,1.0116279069767442,0.8793103448275862,0.673469387755102,0.7111111111111111,0.6923076923076923,0.5,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,0.90
Total Matches,0,6,4,6,7,3,25,28,38,70,110,121,177,212,235,262,254,274,302,340,0,170,173,109,82,77,22,9,6,2,0,0,0,0,0,0,3124
M18,N/A,N/A,0.0,0.0,1.0,1.0,0.3333333333333333,0.5714285714285714,3.5,0.7,0.8148148148148148,0.5789473684210527,0.8888888888888888,0.9056603773584906,0.8253968253968254,0.7142857142857143,0.8205128205128205,0.8082191780821918,0.9722222222222222,0.797752808988764,1.125,-,1.0,0.8529411764705882,1.380952380952381,1.8,0.8,0.6666666666666666,2.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.93
Total Matches,0,0,1,2,4,4,4,11,18,34,49,60,85,101,115,120,142,132,142,160,170,0,92,63,50,28,18,5,3,0,0,0,0,0,0,0,1613
J1,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.7142857142857143,1.3333333333333333,0.7777777777777778,1.5,1.4285714285714286,0.7837837837837838,1.0895522388059702,1.096,1.0058823529411764,0.9389671361502347,1.0609137055837563,0.9438775510204082,0.9074074074074074,0.9885057471264368,1.0,-,1.0752532561505066,0.9641873278236914,1.194662480376766,1.1242138364779874,1.270566727605119,1.1198257080610021,0.9778325123152709,1.2266187050359711,1.5454545454545454,1.2694610778443114,1.4,1.073394495412844,1.4137931034482758,1.12
Total Matches,0,0,0,0,0,0,3,12,14,16,10,34,66,140,262,341,413,406,381,309,173,92,0,1434,1426,1398,1351,1242,973,803,619,476,379,276,226,70,13345
J2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,0.6,0.5,1.25,1.0,1.625,1.0425531914893618,0.9583333333333334,1.2283464566929134,1.0598802395209581,0.9431818181818182,1.0813953488372092,1.1515151515151516,1.1372549019607843,1.1724137931034482,0.9300134589502019,-,1.097938144329897,0.9675850891410048,0.9859154929577465,1.0625,1.0947955390334572,1.0806100217864925,1.1863013698630136,1.1382636655948553,1.303921568627451,1.4634146341463414,1.3255813953488371,0.9830508474576272,1.08
Total Matches,0,0,0,0,0,0,0,3,8,12,9,14,42,96,188,283,344,342,358,213,109,63,1434,0,1221,1214,1269,1287,1127,955,798,665,470,404,300,117,13345
J3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,N/A,0.3333333333333333,2.0,1.0,1.2142857142857142,1.2083333333333333,1.1754385964912282,0.9797979797979798,0.8617886178861789,1.016,1.1176470588235294,1.0,1.4848484848484849,0.7241379310344828,1.0371428571428571,0.9107981220657277,-,1.0631067961165048,1.0498154981549817,1.1231617647058822,1.2011494252873562,1.065217391304348,1.0680851063829788,1.1414392059553349,1.4087837837837838,1.3866666666666667,1.2947976878612717,1.1891891891891893,1.11
Total Matches,0,0,0,0,0,0,0,2,0,4,12,8,31,53,124,196,229,252,216,148,82,50,1426,1221,0,1275,1111,1155,1149,1045,972,863,713,537,397,162,13433
J4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,2.0,2.0,1.5,1.0,0.9230769230769231,1.4545454545454546,1.0425531914893618,1.4423076923076923,1.0476190476190477,1.037037037037037,0.9574468085106383,1.40625,0.5555555555555556,0.8370565045992115,1.033500837520938,0.9406392694063926,-,1.0017699115044247,1.0210325047801148,1.0834990059642147,1.075875486381323,1.0236686390532543,1.023109243697479,1.0761904761904761,1.0,1.0830188679245283,1.1274509803921569,1.02
Total Matches,0,0,0,0,0,0,0,2,0,3,6,10,14,25,54,96,127,129,110,92,77,28,1398,1214,1275,0,1131,1057,1048,1067,1026,963,872,672,552,217,13265
J5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,0.0,3.0,N/A,1.6666666666666667,1.5,0.6875,1.0,1.206896551724138,1.1904761904761905,0.5806451612903226,1.6923076923076923,1.4444444444444444,1.25,0.8895104895104895,1.0142857142857142,0.9525483304042179,0.9982332155477032,-,0.9362363919129082,1.0680529300567108,0.9800399201596807,0.9695121951219512,1.0210084033613445,1.0151187904967602,1.0673316708229426,1.0795107033639144,1.4234234234234233,1.01
Total Matches,0,0,0,0,0,0,0,1,0,1,4,0,8,15,27,40,64,46,49,35,22,18,1351,1269,1111,1131,0,1245,1094,992,969,962,933,829,680,269,13165
J6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,0.4,1.0,2.75,2.25,1.0,1.0,2.0,1.5,0.7870503597122303,0.9411764705882353,0.8903436988543372,0.9794007490636704,1.0681063122923589,-,1.0105633802816902,1.0018552875695732,1.086767895878525,1.0714285714285714,0.9785407725321889,1.0390243902439025,1.0585106382978724,1.1513157894736843,0.99
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,15,13,18,14,9,5,1242,1287,1155,1057,1245,0,1142,1079,962,957,922,836,774,327,13075
J7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,1.0,1.0,1.5,0.0,1.0,0.5,0.8929961089494164,0.9134125636672326,0.8325358851674641,0.9229357798165138,0.9362831858407079,0.9895470383275261,-,0.9368088467614534,0.9395085066162571,1.0141414141414142,0.953757225433526,0.9156378600823045,1.103359173126615,1.3,0.95
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,5,3,6,3,973,1127,1149,1048,1094,1142,0,1226,1026,997,1014,931,814,322,12895
J8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0,0.0,0.0,N/A,1.0,N/A,1.022670025188917,0.9254032258064516,0.9387755102040817,0.9294755877034359,1.0203665987780042,0.9981481481481481,1.0674536256323777,-,1.1038251366120218,1.0704500978473581,1.0176125244618395,0.9335863377609108,1.0431211498973305,1.289617486338798,1.02
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,803,955,1045,1067,992,1079,1226,0,1155,1058,1031,1019,995,419,12851
J9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,0.0,N/A,N/A,0.8152492668621701,0.8429561200923787,0.9362549800796812,0.976878612716763,1.0314465408805031,0.9201596806387226,1.0643863179074446,0.905940594059406,-,1.0243506493506493,1.0626118067978534,1.0941619585687383,1.0344202898550725,1.0526315789473684,0.99
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,619,798,972,1026,969,962,1026,1155,0,1247,1153,1112,1123,507,12672
J10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,N/A,0.0,N/A,N/A,N/A,0.6470588235294118,0.8785310734463276,0.8760869565217392,0.9774127310061602,0.9794238683127572,0.9333333333333333,0.9860557768924303,0.9341864716636198,0.9762282091917591,-,1.076069730586371,1.0283687943262412,0.9784768211920529,1.0198675496688743,0.96
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,476,665,863,963,962,957,997,1058,1247,0,1310,1144,1195,610,12450
J11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0,3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7877358490566038,0.7669172932330827,0.709832134292566,0.9292035398230089,0.9851063829787234,1.0219298245614035,1.0484848484848486,0.9826923076923076,0.9410774410774411,0.9293078055964654,-,1.0157728706624605,0.9568106312292359,1.049342105263158,0.95
Total Matches,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,379,470,713,872,933,922,1014,1031,1153,1310,0,1278,1178,623,11882
J12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7142857142857143,0.6833333333333333,0.7211538461538461,1.0,0.9369158878504673,0.9624413145539906,1.0921348314606742,1.0711382113821137,0.9139414802065404,0.9724137931034482,0.984472049689441,-,0.9967051070840197,1.0467289719626167,0.96
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,404,537,672,829,836,931,1019,1112,1144,1278,0,1212,657,10907
J13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9316239316239316,0.7543859649122807,0.7723214285714286,0.9233449477351916,0.9263456090651558,0.9447236180904522,0.9063231850117096,0.9586614173228346,0.9667250437828371,1.0219966159052454,1.0451388888888888,1.0033057851239668,-,0.988950276243094,0.96
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,300,397,552,680,774,814,995,1123,1195,1178,1212,0,720,10166
J14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7073170731707317,1.0172413793103448,0.8409090909090909,0.8869565217391304,0.7025316455696202,0.8685714285714285,0.7692307692307693,0.7754237288135594,0.95,0.9805194805194806,0.9529780564263323,0.9553571428571429,1.011173184357542,-,0.91
Total Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,117,162,217,269,327,322,419,507,610,623,657,720,0,5020
