Rank,Opponent Rank,Wins,Losses,Total Matches,Win/Loss Ratio,WWOF,WWOF%,Win%
m12,j2,127,156,283,0.8141,,,0.4488
m12,j3,99,97,196,1.0206,,,0.5051
m12,j4,47,49,96,0.9592,,,0.4896
m12,j5,20,20,40,1.0,,,0.5
m12,j6,4,4,8,1.0,,,0.5
m12,j7,4,1,5,4.0,,,0.8
m13,y,2,6,8,0.3333,,,0.25
m13,o,6,20,26,0.3,,,0.2308
m13,s,11,19,30,0.5789,,,0.3667
m13,k,25,26,51,0.9615,,,0.4902
m13,m1,30,45,75,0.6667,,,0.4
m13,m2,50,57,107,0.8772,,,0.4673
m13,m3,83,92,175,0.9022,,,0.4743
m13,m4,86,135,221,0.637,,,0.3891
m13,m5,157,226,383,0.6947,,,0.4099
m13,m6,315,324,639,0.9722,,,0.493
m13,m7,419,495,914,0.8465,,,0.4584
m13,m8,484,542,1026,0.893,,,0.4717
m13,m9,518,534,1052,0.97,,,0.4924
m13,m10,527,549,1076,0.9599,,,0.4898
m13,m11,541,607,1148,0.8913,,,0.4713
m13,m12,616,615,1231,1.0016,,,0.5004
m13,m14,553,536,1089,1.0317,,,0.5078
m13,m15,453,416,869,1.0889,,,0.5213
m13,m16,326,283,609,1.1519,,,0.5353
m13,m17,128,126,254,1.0159,,,0.5039
m13,m18,78,64,142,1.2188,,,0.5493
m13,j1,213,200,413,1.065,,,0.5157
m13,j2,167,177,344,0.9435,,,0.4855
m13,j3,123,106,229,1.1604,,,0.5371
m13,j4,52,75,127,0.6933,,,0.4094
m13,j5,29,35,64,0.8286,,,0.4531
m13,j6,4,11,15,0.3636,,,0.2667
m13,j7,1,1,2,1.0,,,0.5
m13,j8,1,2,3,0.5,,,0.3333
m13,j10,1,1,2,1.0,,,0.5
m14,y,1,7,8,0.1429,,,0.125
m14,o,5,13,18,0.3846,,,0.2778
m14,s,11,11,22,1.0,,,0.5
m14,k,12,13,25,0.9231,,,0.48
m14,m1,18,33,51,0.5455,,,0.3529
m14,m2,27,37,64,0.7297,,,0.4219
m14,m3,53,62,115,0.8548,,,0.4609
m14,m4,73,94,167,0.7766,,,0.4371
m14,m5,119,136,255,0.875,,,0.4667
m14,m6,181,235,416,0.7702,,,0.4351
m14,m7,286,311,597,0.9196,,,0.4791
m14,m8,363,381,744,0.9528,,,0.4879
m14,m9,393,464,857,0.847,,,0.4586
m14,m10,448,456,904,0.9825,,,0.4956
m14,m11,443,509,952,0.8703,,,0.4653
m14,m12,544,478,1022,1.1381,,,0.5323
m14,m13,536,553,1089,0.9693,,,0.4922
m14,m15,479,446,925,1.074,,,0.5178
m14,m16,344,256,600,1.3438,,,0.5733
m14,m17,129,145,274,0.8897,,,0.4708
m14,m18,73,59,132,1.2373,,,0.553
m14,j1,197,209,406,0.9426,,,0.4852
m14,j2,176,166,342,1.0602,,,0.5146
m14,j3,125,127,252,0.9843,,,0.496
m14,j4,63,66,129,0.9545,,,0.4884
m14,j5,21,25,46,0.84,,,0.4565
m14,j6,4,9,13,0.4444,,,0.3077
m14,j7,4,4,8,1.0,,,0.5
m15,y,0,3,3,0.0,,,0.0
m15,o,1,7,8,0.1429,,,0.125
m15,s,1,9,10,0.1111,,,0.1
m15,k,4,7,11,0.5714,,,0.3636
m15,m1,10,8,18,1.25,,,0.5556
m15,m2,11,28,39,0.3929,,,0.2821
m15,m3,20,31,51,0.6452,,,0.3922
m15,m4,39,59,98,0.661,,,0.398
m15,m5,73,87,160,0.8391,,,0.4562
m15,m6,116,148,264,0.7838,,,0.4394
m15,m7,163,237,400,0.6878,,,0.4075
m15,m8,271,269,540,1.0074,,,0.5019
m15,m9,278,364,642,0.7637,,,0.433
m15,m10,319,387,706,0.8243,,,0.4518
m15,m11,402,404,806,0.995,,,0.4988
m15,m12,405,466,871,0.8691,,,0.465
m15,m13,416,453,869,0.9183,,,0.4787
m15,m14,446,479,925,0.9311,,,0.4822
m15,m16,325,325,650,1.0,,,0.5
m15,m17,157,145,302,1.0828,,,0.5199
m15,m18,72,70,142,1.0286,,,0.507
m15,j1,196,185,381,1.0595,,,0.5144
m15,j2,172,186,358,0.9247,,,0.4804
m15,j3,102,114,216,0.8947,,,0.4722
m15,j4,54,56,110,0.9643,,,0.4909
m15,j5,31,18,49,1.7222,,,0.6327
m15,j6,9,9,18,1.0,,,0.5
m15,j7,2,3,5,0.6667,,,0.4
m16,o,0,2,2,0.0,,,0.0
m16,s,2,5,7,0.4,,,0.2857
m16,k,0,4,4,0.0,,,0.0
m16,m1,9,10,19,0.9,,,0.4737
m16,m2,10,13,23,0.7692,,,0.4348
m16,m3,11,25,36,0.44,,,0.3056
m16,m4,25,19,44,1.3158,,,0.5682
m16,m5,47,56,103,0.8393,,,0.4563
m16,m6,62,69,131,0.8986,,,0.4733
m16,m7,97,119,216,0.8151,,,0.4491
m16,m8,131,159,290,0.8239,,,0.4517
m16,m9,168,233,401,0.721,,,0.419
m16,m10,196,275,471,0.7127,,,0.4161
m16,m11,238,297,535,0.8013,,,0.4449
m16,m12,277,297,574,0.9327,,,0.4826
m16,m13,283,326,609,0.8681,,,0.4647
m16,m14,256,344,600,0.7442,,,0.4267
m16,m15,325,325,650,1.0,,,0.5
m16,m17,174,166,340,1.0482,,,0.5118
m16,m18,89,71,160,1.2535,,,0.5563
m16,j1,162,147,309,1.102,,,0.5243
m16,j2,99,114,213,0.8684,,,0.4648
m16,j3,74,74,148,1.0,,,0.5
m16,j4,47,45,92,1.0444,,,0.5109
m16,j5,13,22,35,0.5909,,,0.3714
m16,j6,7,7,14,1.0,,,0.5
m17,o,3,3,6,1.0,,,0.5
m17,s,2,2,4,1.0,,,0.5
m17,k,4,2,6,2.0,,,0.6667
m17,m1,3,4,7,0.75,,,0.4286
m17,m2,0,3,3,0.0,,,0.0
m17,m3,9,16,25,0.5625,,,0.36
