Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats,,,,,,,,,,,,,
Takayasu,12,3,18,12,,13,57,0.814285714285714,,Takanosho,Ura,Ichiyamamoto,Gonoyama,Daieisho,Wakatakakage,Hoshoryu,Kotozakura,Onosato,Oho,Wakamotoharu,Abi,,
Ichiyamamoto,7,8,-2,7,,14,56,0.8,,Takanosho,Kinbozan,Hiradoumi,Shodai,Hoshoryu,Kotozakura,Takarafuji,,,,,,,
Ura,7,8,-2,7,,15,55,0.785714285714286,,Ichiyamamoto,Takanosho,Hiradoumi,Hoshoryu,Atamifuji,Abi,Tobizaru,,,,,,,
Kinbozan,6,9,-6,6,,16,54,0.771428571428572,,Shodai,Tamawashi,Atamifuji,Hakuoho,Endo,Shonannoumi,,,,,,,,
Hiradoumi,9,6,6,9,,17,53,0.757142857142857,,Kinbozan,Takerufuji,Atamifuji,Endo,Takanosho,Nishikigi,Hakuoho,Chiyoshoma,Kotozakura,,,,,
Takerufuji,9,6,6,9,,18,52,0.742857142857143,,Shodai,Kinbozan,Ura,Ichiyamamoto,Endo,Oshoma,Nishikigi,Shonannoumi,Churanoumi,,,,,
Shodai,6,9,-6,6,,19,51,0.728571428571429,,Hiradoumi,Atamifuji,Ura,Midorifuji,Kotoshoho,Nishikigi,,,,,,,,
Tamawashi,10,5,10,10,,20,50,0.714285714285714,,Oshoma,Hakuoho,Takerufuji,Hiradoumi,Ura,Shodai,Nishikigi,Midorifuji,Kirishima,Shishi,,,,
Atamifuji,6,9,-6,6,,21,49,0.7,,Tamawashi,Oshoma,Nishikigi,Shonannoumi,Meisei,Shishi,,,,,,,,
Oshoma,9,6,6,9,,22,48,0.685714285714286,,Shodai,Nishikigi,Kinbozan,Shonannoumi,Hiradoumi,Takarafuji,Midorifuji,Onokatsu,Wakatakakage,,,,,
Hakuoho,9,6,6,9,,23,47,0.671428571428571,,Oshoma,Nishikigi,Shonannoumi,Endo,Onokatsu,Shodai,Shishi,Tobizaru,Asakoryu,,,,,
Endo,7,8,-2,7,,24,46,0.657142857142857,,Nishikigi,Atamifuji,Shonannoumi,Oshoma,Tamawashi,Shodai,Asakoryu,,,,,,,
Nishikigi,3,12,-18,3,,25,45,0.642857142857143,,Shonannoumi,Kinbozan,Shirokuma,,,,,,,,,,,
Shonannoumi,4,11,-14,4,,26,44,0.628571428571429,,Takarafuji,Sadanoumi,Shirokuma,Asakoryu,,,,,,,,,,
Midorifuji,9,6,6,9,,27,43,0.614285714285714,,Shonannoumi,Nishikigi,Endo,Ryuden,Tokihayate,Shirokuma,Asakoryu,Sadanoumi,Mitakeumi,,,,,
Meisei,9,6,6,9,,28,42,0.6,,Shonannoumi,Nishikigi,Midorifuji,Hakuoho,Shishi,Ryuden,Shirokuma,Mitakeumi,Chiyoshoma,,,,,
Takarafuji,3,12,-18,3,,29,41,0.585714285714286,,Meisei,Ryuden,Nishikigi,,,,,,,,,,,
Onokatsu,10,5,10,10,,30,40,0.571428571428571,,Nishikifuji,Midorifuji,Meisei,Takarafuji,Shonannoumi,Atamifuji,Mitakeumi,Sadanoumi,Ryuden,Shirokuma,,,,
Nishikifuji,0,15,-30,0,,31,39,0.557142857142857,,,,,,,,,,,,,,,
Shishi,9,6,6,9,,32,38,0.542857142857143,,Takarafuji,Churanoumi,Midorifuji,Onokatsu,Kotoshoho,Asakoryu,Mitakeumi,Wakamotoharu,Endo,,,,,
Ryuden,6,9,-6,6,,33,37,0.528571428571429,,Shishi,Nishikifuji,Aonishiki,Mitakeumi,Atamifuji,Oshoma,,,,,,,,
Churanoumi,11,4,14,11,,34,36,0.514285714285714,,Aonishiki,Sadanoumi,Ryuden,Asakoryu,Takarafuji,Kotoshoho,Mitakeumi,Hakuoho,Tamawashi,Takayasu,Daieisho,,,
Aonishiki,11,4,14,11,,35,35,0.5,,Sadanoumi,Mitakeumi,Shishi,Tokihayate,Shirokuma,Nabatame,Kotoshoho,Hakuoho,Meisei,Takerufuji,Oho,,,
