Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Shimanoumi,8,7,2,8,,62,8,0.11594202898550725,,Tsurugisho;Tohakuryu;Wakanosho;Hitoshi;Kiryuko;Hokutofuji;Otsuji;Wakaikari
Tsurugisho,8,7,2,8,,63,7,0.10144927536231885,,Daiseizan;Otsuji;Hakuyozan;Hokutofuji;Mitoryu;Shiden;Kagayaki;Tohakuryu
Wakanosho,7,8,-2,7,,64,6,0.08695652173913043,,Kiryuko;Tsurugisho;Wakaikari;Mitoryu;Tohakuryu;Oshoumi;Kagayaki
Hitoshi,9,6,6,9,,65,5,0.07246376811594203,,Wakanosho;Hatsuyama;Kiryuko;Daiseizan;Kazekeno;Mudoho;Otsuji;Hakuyozan;Nabatame
Kiryuko,2,13,-22,2,,66,4,0.057971014492753624,,Otsuji;Tsurugisho
Hatsuyama,8,7,2,8,,67,3,0.043478260869565216,,Kiryuko;Kazekeno;Tochimaru;Wakanosho;Tsurugisho;Hokutofuji;Daiseizan;Tomokaze
Kazekeno,8,7,2,8,,68,2,0.028985507246376812,,Otsuji;Tsurugisho;Daiamami;Wakanosho;Hokutofuji;Shimanoumi;Ishizaki;Kotoeiho
Otsuji,5,10,-10,5,,69,1,0.014492753623188406,,Ishizaki;Hatsuyama;Wakanosho;Hokutofuji;Kotoeiho
Kusano,14,1,26,14,,70,0,0,,Miyagi;Kazekeno;Otsuji;Hatsuyama;Wakanosho;Hitoshi;Kiryuko;Daiseizan;Hakuyozan;Shimanoumi;Tsurugisho;Roga;Hidenoumi;Fujiseiun
Miyagi,4,11,-14,4,,71,-1,0,,Daiamami;Ishizaki;Tochimaru;Hokutofuji
Ishizaki,3,12,-18,3,,72,-2,0,,Daiamami;Nishinoryu;Tochimaru
Daiamami,4,11,-14,4,,73,-3,0,,Tenshoho;Nishinoryu;Kaisho;Hokutofuji
Tochimaru,2,13,-22,2,,74,-4,0,,Mudoho;Nishinoryu
Shimazuumi,0,15,-30,0,,75,-5,0,,
Mudoho,4,11,-14,4,,76,-6,0,,Mita;Nishinoryu;Miyagi;Kotokuzan
Nishinoryu,2,13,-22,2,,77,-7,0,,Mita;Osanai
Mita,5,10,-10,5,,78,-8,0,,Tenshoho;Takakento;Ishizaki;Miyagi;Otsuji
Bushozan,0,15,-30,0,,79,-9,0,,
Tenshoho,1,14,-26,1,,80,-10,0,,Kototaiko
