Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Shimanoumi,7,8,-2,7,,55,15,0.21428571428571427,,Tochimusashi;Kotokuzan;Chiyosakae;Kaisho;Takakento;Chiyonokuni;Tohakuryu
Kotokuzan,8,7,2,8,,56,14,0.2,,Kinbozan;Daiamami;Kitanowaka;Tokushoryu;Takakento;Churanoumi;Tsushimanada;Hokuseiho
Daiamami,11,4,14,11,,57,13,0.18571428571428572,,Shimanoumi;Kinbozan;Enho;Tochimusashi;Tokushoryu;Gonoyama;Tsushimanada;Churanoumi;Chiyonokuni;Hokuseiho;Oshoma
Daishoho,8,7,2,8,,58,12,0.17142857142857143,,Kotokuzan;Kinbozan;Shimanoumi;Roga;Gonoyama;Tsushimanada;Tokushoryu;Mitoryu
Chiyosakae,7,8,-2,7,,59,11,0.15714285714285714,,Daishoho;Daiamami;Roga;Shimazuumi;Hidenoumi;Churanoumi;Kotokuzan
Kaisho,5,10,-10,5,,60,10,0.14285714285714285,,Daishoho;Chiyosakae;Kotokuzan;Daiamami;Hakuyozan
Enho,10,5,10,10,,61,9,0.12857142857142856,,Kaisho;Chiyosakae;Daishoho;Kotokuzan;Takakento;Roga;Shimazuumi;Tohakuryu;Mitoryu;Chiyomaru
Takakento,7,8,-2,7,,62,8,0.11428571428571428,,Oshoma;Kaisho;Tsushimanada;Chiyosakae;Hidenoumi;Chiyonokuni;Bushozan
Tokushoryu,4,11,-14,4,,63,7,0.1,,Takakento;Enho;Oshoma;Gonoyama
Oshoma,12,3,18,12,,64,6,0.08571428571428572,,Shimazuumi;Tsushimanada;Tokihayate;Roga;Shimanoumi;Kaisho;Kinbozan;Daishoho;Akua;Tsurugisho;Enho;Daiamami
Shimazuumi,8,7,2,8,,65,5,0.07142857142857142,,Tokushoryu;Daishoho;Kaisho;Kitanowaka;Shimanoumi;Shiden;Yutakayama;Churanoumi
Roga,9,6,6,9,,66,4,0.05714285714285714,,Gonoyama;Tsukahara;Takakento;Shimazuumi;Kotokuzan;Shimanoumi;Kaisho;Akua;Tsurugisho
Tsushimanada,7,8,-2,7,,67,3,0.04285714285714286,,Roga;Shimazuumi;Tokushoryu;Shiden;Shimanoumi;Hidenoumi;Fujiseiun
Gonoyama,9,6,6,9,,68,2,0.02857142857142857,,Shimazuumi;Tsushimanada;Takakento;Daiseiryu;Shimanoumi;Chiyosakae;Enho;Kinbozan;Akua
Shiden,3,12,-18,3,,69,1,0.014285714285714285,,Gonoyama;Tokihayate;Daishomaru
Shonannoumi,5,10,-10,5,,70,0,0.0,,Tsukahara;Tsushimanada;Shiden;Chiyonoumi;Gonoyama
Tsukahara,3,12,-18,3,,71,-1,0,,Asanowaka;Shishi;Daishomaru
Fujiseiun,3,12,-18,3,,72,-2,0,,Daiseiryu;Shimazuumi;Shiden
Tokihayate,3,12,-18,3,,73,-3,0,,Fujiseiun;Tsukahara;Daiseiryu
Daiseiryu,2,13,-22,2,,74,-4,0,,Tsukahara;Shishi
Asanoyama,6,9,-6,6,,75,-5,0,,Daiseiryu;Daishomaru;Hakuyozan;Tokushoryu;Shonannoumi;Kamito
Asanowaka,0,15,-30,0,,76,-6,0,,
Daishomaru,2,13,-22,2,,77,-7,0,,Asanowaka;Chiyonoo
Hakuyozan,5,10,-10,5,,78,-8,0,,Chiyonoo;Shishi;Daishomaru;Fujiseiun;Chiyonoumi
Chiyonoo,4,11,-14,4,,79,-9,0,,Asanowaka;Tokihayate;Tochimaru;Fujiseiun
Tochikamiyama,4,11,-14,4,,80,-10,0,,Asanowaka;Yuma;Daishomaru;Tokihayate
Tochimaru,3,12,-18,3,,81,-11,0,,Hamayutaka;Shishi;Daiseiryu
Shishi,1,14,-26,1,,82,-12,0,,Tochikamiyama
Ishizaki,5,10,-10,5,,83,-13,0,,Tochimaru;Tomokaze;Dewanoryu;Tochikamiyama;Chiyonoo
Tomokaze,5,10,-10,5,,84,-14,0,,Dewanoryu;Shishi;Chiyoarashi;Tochikodai;Chiyonoumi
Dewanoryu,4,11,-14,4,,85,-15,0,,Tochikamiyama;Yuma;Tochimaru;Yoshii
Yuma,3,12,-18,3,,86,-16,0,,Tochimaru;Nishinoryu;Hokaho
Yoshii,3,12,-18,3,,87,-17,0,,Yuma;Ryuo;Hokaho
Kamito,5,10,-10,5,,88,-18,0,,Hamayutaka;Yoshii;Tomokaze;Ishizaki;Shonannoumi
Chiyonoumi,4,11,-14,4,,89,-19,0,,Kamito;Yoshii;Ishizaki;Tochikodai
Hamayutaka,2,13,-22,2,,90,-20,0,,Nishinoryu;Yuma
